一 张大哥是一切人的大哥。	1 Чжан Дагэ - всем и каждому брат.
你总以为他的父亲也得管他叫大哥；他的“大哥”味儿就这么足。	Должно быть, и родной отец звал его братом, да и как иначе его назвать?
张大哥一生所要完成的神圣使命：作媒人和反对离婚。	Священная миссия Чжана - сватать людей и бороться с разводами.
在他的眼中，凡为姑娘者必有个相当的丈夫，凡为小伙子者必有个合适的夫人。	Пусть у каждой девушки, думает Чжан Дагэ, будет подходящий муж, а у каждого парня - подходящая жена.
这相当的人物都在哪里呢？	Но где их найти, этих подходящих?
张大哥的全身整个儿是显微镜兼天秤。	И тут Чжан Дагэ вполне заменяет микроскоп и весы.
在显微镜下发现了一位姑娘，脸上有几个麻子；他立刻就会在人海之中找到一位男人，说话有点结巴，或是眼睛有点近视。	Увидит девушку с рябинками и тотчас в человеческом море отыщет ей пару, какого-нибудь заику или близорукого.
在天秤上，麻子与近视眼恰好两相抵销，上等婚姻。	Мысленно положит их на весы - один уравновешивает другого.
	Чем не пара? Близорукий не заметит рябинок, а девушка не будет торопить его с покупкой очков.
近视眼容易忽略了麻子，而麻小姐当然不肯催促丈夫去配服镜，马上进行双方——假如有必要——交换像片，只许成功，不准失败。	И без промедления - если, конечно, в том есть необходимость - стороны обмениваются фотографиями. Дело в шляпе!
自然张大哥的天秤不能就这么简单。	Только весами быть не так просто.
年龄，长像，家道，性格，八字，也都须细细测量过的；终身大事岂可马马虎虎！	Нужно тщательно взвесить все: возраст, внешность, характер, гороскоп.
因此，亲友间有不经张大哥为媒而结婚者，他只派张大嫂去道喜，他自己决不去参观婚礼——看着伤心。	Можно ли относиться столь безответственно к такому важному делу, как брак? Ведь это на всю жизнь.
	И если кто-нибудь из родственников или друзей обходится без его услуг, Чжан Дагэ, чтобы не огорчаться, не участвует в свадебной церемонии, а посылает с поздравлениями жену.
这决不是出于嫉妒，而是善意的觉得这样的结婚，即使过得去，也不能是上等婚；在张大哥的天秤上是没有半点将就凑合的。	Но не из-за обиды - просто он понимает, что такой брак нельзя считать браком высшего сорта, поскольку жених и невеста не побывали на весах Чжан Дагэ.
离婚，据张大哥看，没有别的原因，完全因为媒人的天秤不准。	Разводы, Чжан Дагэ уверен, происходят лишь по одной причине - из-за неточных весов свахи.
经他介绍而成家的还没有一个闹过离婚的，连提过这个意思的也没有。	Ни один брак, устроенный но его рекомендации, не кончался разводом.
	Даже речи об этом не было.
	Поссорятся молодые, поругаются - ничего особенного.
小两口打架吵嘴什么的是另一回事。	Одна ночь вместе - счастье на всю жизнь. Милые бранятся - только тешатся.
一夜夫妻百日恩，不打不爱，抓破了鼻子打青了眼，和离婚还差着一万多里地，远得很呢。	Расквашенный нос, подбитый глаз - не велика беда, главное, чтобы не дошло до развода.
至于自由结婚，哼，和离婚是一件事的两端——根本没上过天秤。	Бывает еще свободный брак, но это такая же крайность, как и развод.
	Тут никто ничего не взвешивает.
	На такие свадьбы даже госпожа Чжан не ходит.
这类的喜事，连张大嫂也不去致贺，只派人去送一对喜联——虽然写的与挽联不同，也差不很多。	Чжан Дагэ посылает кого-нибудь другого со «счастливыми надписями», хотя вместо них охотно послал бы «траурные полотнища (Счастливые надписи - поздравления к свадьбе, ко дню рождения; траурные полотнища - выражения соболезнования по случаю похорон.)
	
介绍婚姻是创造，消灭离婚是艺术批评。	Если устройство брака - истинное творчество, то предотвращение развода - критика.
张大哥虽然没这么明说，可是确有这番意思。	Чжан Дагэ не говорил этого, но думал именно так.
	Из-за неточных весов свахи некоторые люди решаются расстроить такое важное дело, как брак.
媒人的天秤不准是离婚的主因，所以打算大事化小，小事化无，必须从新用他的天秤估量一回，细细加以分析，然后设法把双方重量不等之处，加上些砝码，便能一天云雾散，没事一大堆，家庭免于离散，律师只得干瞪眼——张大哥的朋友中没有挂律师牌子的。	В этом случае необходимо все снова проанализировать, взвесить и на одну из чаш добавить гирю, для равновесия; тучи рассеются, дело будет улажено, семья сохранена.
	Юристы могут лишь изумляться: никто из друзей Чжан Дагэ не получал повестки в суд.
只有创造家配批评艺术，只有真正的媒人会消灭离婚。	Лишь настоящему художнику дано право критиковать искусство, только настоящая сваха в силах предотвратить развод.
	"
"
